trade_id,entry_ts,exit_ts,side,entry_price,exit_price,holding_bars,p_long,margin,entropy,p_diff,guard_scale,stage2_cap,final_scale,cap_reason,realized_profit,scaled_profit
1,2021-01-01 05:35:00,2021-01-01 06:35:00,LONG,29193.23,29161.28,12,0.34344279766082764,0.15655720233917236,0.6432927250862122,0.0037230849266052246,0.1748240739107132,0.8,0.13985925912857056,mid_entropy(0.6433)_small_pdiff(0.0037),-0.0028908450762493336,-0.00040431146044284105
2,2021-01-01 07:35:00,2021-01-01 08:35:00,LONG,29074.05,29081.89,12,0.3752945065498352,0.1247054934501648,0.6617134809494019,0.012038886547088623,0.1308818757534027,1.0,0.1308818757534027,no_cap,-0.0015292101272945942,-0.00020014589244965464
3,2021-01-01 09:35:00,2021-01-01 10:35:00,LONG,29265.8,29280.89,12,0.35929471254348755,0.14070528745651245,0.6530113220214844,0.012742578983306885,0.15088163316249847,1.0,0.15088163316249847,no_cap,-0.0012836898226377617,-0.0001936852204380557
4,2021-01-01 15:55:00,2021-01-01 16:55:00,LONG,29188.67,29300.57,12,0.3423195481300354,0.1576804518699646,0.6425620317459106,0.0010747313499450684,0.17667779326438904,0.8,0.14134223759174347,mid_entropy(0.6426)_small_pdiff(0.0011),0.0020284034264522206,0.0002866990689653903
5,2021-01-01 18:45:00,2021-01-01 19:45:00,LONG,28908.44,29091.03,12,0.3617521822452545,0.13824781775474548,0.6544196605682373,0.05439451336860657,0.14780978858470917,1.0,0.14780978858470917,no_cap,0.004506408200927285,0.0006660912767983973
6,2021-01-02 10:05:00,2021-01-02 11:05:00,LONG,29649.14,29752.02,12,0.4246141016483307,0.07538589835166931,0.6817376613616943,0.001733154058456421,0.06923237442970276,0.6,0.041539426892995834,high_entropy(0.6817)_tiny_pdiff(0.0017),0.0016652934598764644,6.91753375576809e-05
7,2021-01-02 12:05:00,2021-01-02 13:05:00,LONG,29841.0,30692.11,12,0.38748255372047424,0.11251744627952576,0.6676086783409119,0.01673448085784912,0.11564681679010391,1.0,0.11564681679010391,no_cap,0.026671823280363983,0.0030845114961266518
8,2021-01-02 20:25:00,2021-01-02 21:25:00,LONG,32237.25,31615.18,12,0.3984929919242859,0.10150700807571411,0.6723958849906921,0.008631527423858643,0.10188377648591995,1.0,0.10188377648591995,no_cap,-0.02106029991583905,-0.0021457027178257704
9,2021-01-02 22:25:00,2021-01-02 23:25:00,LONG,32199.49,31965.93,12,0.37196651101112366,0.12803348898887634,0.6599940061569214,0.006769746541976929,0.13504187762737274,1.0,0.13504187762737274,no_cap,-0.009038867875168874,-0.0012206255923956633
10,2021-01-03 00:25:00,2021-01-03 01:25:00,LONG,32199.99,32626.58,12,0.3580877184867859,0.1419122815132141,0.6523100137710571,0.02199101448059082,0.14707022905349731,1.0,0.14707022905349731,no_cap,0.011425934092924252,0.0016804146580398083
11,2021-01-03 09:00:00,2021-01-03 10:00:00,LONG,34523.82,34280.1,12,0.44999784231185913,0.05000215768814087,0.6881383657455444,0.001798093318939209,0.06399921327829361,0.6,0.038399528712034225,high_entropy(0.6881)_tiny_pdiff(0.0018),-0.00884515954994101,-0.00033964996691793203
12,2021-01-03 11:00:00,2021-01-03 12:00:00,LONG,34073.59,34482.99,12,0.36948320269584656,0.13051679730415344,0.6586800813674927,0.0032678544521331787,0.13475756347179413,0.8,0.10780604928731918,mid_entropy(0.6587)_small_pdiff(0.0033),0.010195181376919963,0.001099102315492928
13,2021-01-03 13:00:00,2021-01-03 14:00:00,LONG,34257.05,33943.51,12,0.38797110319137573,0.11202889680862427,0.6678318977355957,0.0219133198261261,0.11830799281597137,1.0,0.11830799281597137,no_cap,-0.010934490242415457,-0.0012936375569552183
14,2021-01-03 15:00:00,2021-01-03 16:00:00,LONG,33522.0,33771.67,12,0.4061523973941803,0.0938476026058197,0.6754275560379028,0.04957064986228943,0.10167865455150604,1.0,0.10167865455150604,no_cap,0.005636168931166763,0.0005730781122110784
