fold_id,candidate,selected_threshold
0,LOGISTIC_PRICE_ONLY,0.5
0,LOGISTIC_PRICE_PLUS_VOL,0.45
0,LOGISTIC_PRICE_PLUS_RATES,0.45
0,LOGISTIC_PRICE_PLUS_BREADTH,0.45
0,LOGISTIC_PRICE_PLUS_CREDIT,0.45
0,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
1,LOGISTIC_PRICE_ONLY,0.5
1,LOGISTIC_PRICE_PLUS_VOL,0.45
1,LOGISTIC_PRICE_PLUS_RATES,0.5
1,LOGISTIC_PRICE_PLUS_BREADTH,0.45
1,LOGISTIC_PRICE_PLUS_CREDIT,0.45
1,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
2,LOGISTIC_PRICE_ONLY,0.55
2,LOGISTIC_PRICE_PLUS_VOL,0.45
2,LOGISTIC_PRICE_PLUS_RATES,0.55
2,LOGISTIC_PRICE_PLUS_BREADTH,0.45
2,LOGISTIC_PRICE_PLUS_CREDIT,0.5
2,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
3,LOGISTIC_PRICE_ONLY,0.55
3,LOGISTIC_PRICE_PLUS_VOL,0.45
3,LOGISTIC_PRICE_PLUS_RATES,0.45
3,LOGISTIC_PRICE_PLUS_BREADTH,0.55
3,LOGISTIC_PRICE_PLUS_CREDIT,0.55
3,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.5
4,LOGISTIC_PRICE_ONLY,0.45
4,LOGISTIC_PRICE_PLUS_VOL,0.45
4,LOGISTIC_PRICE_PLUS_RATES,0.45
4,LOGISTIC_PRICE_PLUS_BREADTH,0.45
4,LOGISTIC_PRICE_PLUS_CREDIT,0.45
4,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
5,LOGISTIC_PRICE_ONLY,0.5
5,LOGISTIC_PRICE_PLUS_VOL,0.45
5,LOGISTIC_PRICE_PLUS_RATES,0.5
5,LOGISTIC_PRICE_PLUS_BREADTH,0.5
5,LOGISTIC_PRICE_PLUS_CREDIT,0.5
5,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
6,LOGISTIC_PRICE_ONLY,0.45
6,LOGISTIC_PRICE_PLUS_VOL,0.45
6,LOGISTIC_PRICE_PLUS_RATES,0.5
6,LOGISTIC_PRICE_PLUS_BREADTH,0.5
6,LOGISTIC_PRICE_PLUS_CREDIT,0.45
6,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
7,LOGISTIC_PRICE_ONLY,0.45
7,LOGISTIC_PRICE_PLUS_VOL,0.45
7,LOGISTIC_PRICE_PLUS_RATES,0.45
7,LOGISTIC_PRICE_PLUS_BREADTH,0.45
7,LOGISTIC_PRICE_PLUS_CREDIT,0.45
7,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
8,LOGISTIC_PRICE_ONLY,0.45
8,LOGISTIC_PRICE_PLUS_VOL,0.45
8,LOGISTIC_PRICE_PLUS_RATES,0.55
8,LOGISTIC_PRICE_PLUS_BREADTH,0.45
8,LOGISTIC_PRICE_PLUS_CREDIT,0.45
8,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.45
9,LOGISTIC_PRICE_ONLY,0.45
9,LOGISTIC_PRICE_PLUS_VOL,0.5
9,LOGISTIC_PRICE_PLUS_RATES,0.5
9,LOGISTIC_PRICE_PLUS_BREADTH,0.45
9,LOGISTIC_PRICE_PLUS_CREDIT,0.45
9,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.55
10,LOGISTIC_PRICE_ONLY,0.5
10,LOGISTIC_PRICE_PLUS_VOL,0.45
10,LOGISTIC_PRICE_PLUS_RATES,0.6
10,LOGISTIC_PRICE_PLUS_BREADTH,0.5
10,LOGISTIC_PRICE_PLUS_CREDIT,0.5
10,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.5
