event_type,trade_index,idx,timestamp,direction,price,raw_signal,final_signal,stage2_trade,stage2_reason,guard_decision,exit_reason,pnl
ENTRY_LONG,1,148666,2022-06-01 17:15:00,LONG,30156.82,LONG,LONG,,,DEFER,,
EXIT_TO_FLAT,2,148678,2022-06-01 18:15:00,LONG,30156.82,LONG,LONG,,,DEFER,signal_exit_th,-0.001442552579528147
ENTRY_LONG,2,224435,2023-02-19 19:20:00,LONG,24514.32,LONG,LONG,,,DEFER,,
EXIT_TO_FLAT,4,224442,2023-02-19 19:55:00,LONG,24514.32,LONG,LONG,,,DEFER,signal_exit_th,-0.0014127713590968327
ENTRY_LONG,3,226704,2023-02-27 16:25:00,LONG,23324.03,LONG,LONG,,,DEFER,,
EXIT_TO_FLAT,6,226730,2023-02-27 18:35:00,LONG,23324.03,LONG,LONG,,,DEFER,signal_exit_th,-0.006125599593988306
ENTRY_LONG,4,290041,2023-10-05 15:50:00,LONG,27616.79,LONG,LONG,,,DEFER,,
EXIT_TO_FLAT,8,290071,2023-10-05 18:20:00,LONG,27616.79,LONG,LONG,,,DEFER,signal_exit_th,-0.008273349689631676
ENTRY_LONG,5,318255,2024-01-11 15:00:00,LONG,48254.0,LONG,LONG,,,DEFER,,
EXIT_TO_FLAT,10,318309,2024-01-11 19:30:00,LONG,48254.0,LONG,LONG,,,DEFER,signal_exit_th,-0.036985950428011
